日期,单位净值,LJJZ,SDATE,ACTUALSYI,NAVTYPE,净值增长量,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021/4/12,3.66,3.66,,,1,-3.2,开放申购,开放赎回,,,,
2021/4/9,3.781,3.781,,,1,-1.28,开放申购,开放赎回,,,,
2021/4/8,3.83,3.83,,,1,1.59,开放申购,开放赎回,,,,
2021/4/7,3.77,3.77,,,1,-0.82,开放申购,开放赎回,,,,
2021/4/6,3.801,3.801,,,1,-1.25,开放申购,开放赎回,,,,
2021/4/2,3.849,3.849,,,1,0.34,开放申购,开放赎回,,,,
2021/4/1,3.836,3.836,,,1,3.17,开放申购,开放赎回,,,,
2021/3/31,3.718,3.718,,,1,-1.48,开放申购,开放赎回,,,,
2021/3/30,3.774,3.774,,,1,2.47,开放申购,开放赎回,,,,
2021/3/29,3.683,3.683,,,1,-0.49,开放申购,开放赎回,,,,
2021/3/26,3.701,3.701,,,1,3.38,开放申购,开放赎回,,,,
2021/3/25,3.58,3.58,,,1,1.3,开放申购,开放赎回,,,,
2021/3/24,3.534,3.534,,,1,-0.2,开放申购,开放赎回,,,,
2021/3/23,3.541,3.541,,,1,0.06,开放申购,开放赎回,,,,
2021/3/22,3.539,3.539,,,1,1.35,开放申购,开放赎回,,,,
2021/3/19,3.492,3.492,,,1,-2.73,开放申购,开放赎回,,,,
2021/3/18,3.59,3.59,,,1,2.37,开放申购,开放赎回,,,,
2021/3/17,3.507,3.507,,,1,0.75,开放申购,开放赎回,,,,
2021/3/16,3.481,3.481,,,1,1.49,开放申购,开放赎回,,,,
2021/3/15,3.43,3.43,,,1,-4.4,开放申购,开放赎回,,,,
2021/3/12,3.588,3.588,,,1,0.39,开放申购,开放赎回,,,,
2021/3/11,3.574,3.574,,,1,2.26,开放申购,开放赎回,,,,
2021/3/10,3.495,3.495,,,1,2.73,开放申购,开放赎回,,,,
2021/3/9,3.402,3.402,,,1,-2.72,开放申购,开放赎回,,,,
2021/3/8,3.497,3.497,,,1,-5.84,开放申购,开放赎回,,,,
2021/3/5,3.714,3.714,,,1,0.32,开放申购,开放赎回,,,,
2021/3/4,3.702,3.702,,,1,-4.56,开放申购,开放赎回,,,,
2021/3/3,3.879,3.879,,,1,1.54,开放申购,开放赎回,,,,
2021/3/2,3.82,3.82,,,1,-2.15,开放申购,开放赎回,,,,
2021/3/1,3.904,3.904,,,1,0.98,开放申购,开放赎回,,,,
2021/2/26,3.866,3.866,,,1,-2.18,开放申购,开放赎回,,,,
2021/2/25,3.952,3.952,,,1,0.1,开放申购,开放赎回,,,,
