日期,净值增长量
2021/4/12,-3.2
2021/4/9,-1.28
2021/4/8,1.59
2021/4/7,-0.82
2021/4/6,-1.25
2021/4/2,0.34
2021/4/1,3.17
2021/3/31,-1.48
2021/3/30,2.47
2021/3/29,-0.49
2021/3/26,3.38
2021/3/25,1.3
2021/3/24,-0.2
2021/3/23,0.06
2021/3/22,1.35
2021/3/19,-2.73
2021/3/18,2.37
2021/3/17,0.75
2021/3/16,1.49
2021/3/15,-4.4
2021/3/12,0.39
2021/3/11,2.26
2021/3/10,2.73
2021/3/9,-2.72
2021/3/8,-5.84
2021/3/5,0.32
2021/3/4,-4.56
2021/3/3,1.54
2021/3/2,-2.15
2021/3/1,0.98
2021/2/26,-2.18
2021/2/25,0.1
2021/2/24,-3.61
2021/2/23,-0.19
2021/2/22,-4.49
2021/2/19,0.3
2021/2/18,-5.22
2021/2/10,2.31
2021/2/9,1.66
2021/2/8,1.66
2021/2/5,2.76
2021/2/4,-1.63
2021/2/3,0.52
2021/2/2,1.01
2021/2/1,2.28
2021/1/29,-0.88
2021/1/28,-2.84
2021/1/27,-0.05
2021/1/26,-3.27
2021/1/25,1.13
2021/1/22,5.44
2021/1/21,2.09
2021/1/20,3.21
2021/1/19,-2.31
2021/1/18,0.28
2021/1/15,0.18
2021/1/14,-0.97
2021/1/13,-0.65
2021/1/12,1.9
2021/1/11,-0.55
2021/1/8,-0.38
2021/1/7,0.88
2021/1/6,1.91
2021/1/5,1.49
2021/1/4,-0.23
2020/12/31,1.08
2020/12/30,1.66
2020/12/29,-0.53
2020/12/28,-0.64
2020/12/25,2.39
2020/12/24,-0.16
2020/12/23,-0.3
2020/12/22,-1.01
2020/12/21,2.02
2020/12/18,-1.08
2020/12/17,2.01
2020/12/16,0.55
2020/12/15,1.23
2020/12/14,1.91
2020/12/11,-0.88
2020/12/10,0.71
2020/12/9,-2.12
2020/12/8,0.42
2020/12/7,-0.03
2020/12/4,1.51
2020/12/3,2.12
2020/12/2,-0.06
2020/12/1,2.77
2020/11/30,-0.06
2020/11/27,0.6
2020/11/26,-0.06
2020/11/25,-3.13
2020/11/24,-0.58
2020/11/23,-0.63
2020/11/20,0.81
2020/11/19,0.67
2020/11/18,-1.97
2020/11/17,-2.74
2020/11/16,0.14
2020/11/13,0.33
2020/11/12,1.1
2020/11/11,-2.98
2020/11/10,-1.67
2020/11/9,1.44
2020/11/6,-2.42
2020/11/5,-0.21
2020/11/4,0.27
2020/11/3,0.67
2020/11/2,0.13
2020/10/30,-1.32
2020/10/29,2.16
2020/10/28,0.3
2020/10/27,3.13
2020/10/26,0.96
2020/10/23,-3.75
2020/10/22,-1.45
2020/10/21,-0.37
2020/10/20,0.29
2020/10/19,-2.63
2020/10/16,-0.18
2020/10/15,-1.11
2020/10/14,0.34
2020/10/13,1.39
2020/10/12,2.55
2020/10/9,1.58
2020/9/30,2.26
2020/9/29,1.3
2020/9/28,-1.34
2020/9/25,0.84
2020/9/24,-1.55
2020/9/23,3.46
2020/9/22,0.49
2020/9/21,-0.8
2020/9/18,1.21
2020/9/17,-1.28
2020/9/16,-1.87
2020/9/15,1.33
2020/9/14,-0.68
2020/9/11,1.75
2020/9/10,0.11
2020/9/9,-3.83
2020/9/8,-0.22
2020/9/7,-3.61
2020/9/4,-1.69
2020/9/3,-0.54
2020/9/2,-0.31
2020/9/1,-0.15
2020/8/31,-0.64
2020/8/28,2.58
2020/8/27,1.6
2020/8/26,-0.74
2020/8/25,0.53
2020/8/24,0.37
2020/8/21,1
2020/8/20,-1.33
2020/8/19,-2.52
2020/8/18,1.26
2020/8/17,0.93
2020/8/14,0.62
2020/8/13,-1.55
2020/8/12,-3.16
2020/8/11,-1.43
2020/8/10,0.2
2020/8/7,-1.44
2020/8/6,-2.54
2020/8/5,2.05
2020/8/4,-1.91
2020/8/3,2.97
2020/7/31,2.19
2020/7/30,0.62
2020/7/29,3.47
2020/7/28,0.27
2020/7/27,1.05
2020/7/24,-5.56
2020/7/23,2.66
2020/7/22,2.02
2020/7/21,4.67
2020/7/20,-0.5
2020/7/17,1.23
2020/7/16,-5.28
2020/7/15,0.86
2020/7/14,-0.35
2020/7/13,3.14
2020/7/10,1.71
2020/7/9,3.29
2020/7/8,0.29
2020/7/7,2.07
2020/7/6,-0.53
2020/7/3,0.92
2020/7/2,-1.38
2020/7/1,-1.67
2020/6/30,1.4
2020/6/29,0.56
2020/6/24,-0.53
2020/6/23,2.61
2020/6/22,0.63
2020/6/19,2.79
2020/6/18,-1.41
2020/6/17,1.33
2020/6/16,2.84
2020/6/15,1.19
2020/6/12,1.37
2020/6/11,-0.68
2020/6/10,2.16
2020/6/9,1.89
2020/6/8,-1.79
2020/6/5,1.07
2020/6/4,1.36
2020/6/3,0.68
2020/6/2,-1.55
2020/6/1,1.57
2020/5/29,2.35
2020/5/28,-1.45
2020/5/27,-2.46
2020/5/26,2.48
2020/5/25,1.36
2020/5/22,-1.95
2020/5/21,0.52
2020/5/20,-1.89
2020/5/19,1.72
2020/5/18,1.54
2020/5/15,-0.59
2020/5/14,-0.24
2020/5/13,2.52
2020/5/12,1.73
2020/5/11,-0.86
2020/5/8,0.72
2020/5/7,0
2020/5/6,2.14
2020/4/30,-0.95
2020/4/29,-1.3
2020/4/28,0.87
2020/4/27,2.61
2020/4/24,-1.87
2020/4/23,0.11
2020/4/22,2.32
2020/4/21,-0.82
2020/4/20,1.59
2020/4/17,-0.94
2020/4/16,0.68
2020/4/15,-0.6
2020/4/14,2.22
2020/4/13,0.42
2020/4/10,-1.7
2020/4/9,3.12
2020/4/8,-0.89
2020/4/7,2.9
2020/4/3,0.88
2020/4/2,1.59
2020/4/1,-2
2020/3/31,0.72
2020/3/30,-1.03
2020/3/27,-0.16
2020/3/26,1.78
2020/3/25,3.26
2020/3/24,2.66
2020/3/23,-2.02
2020/3/20,2.81
2020/3/19,-0.77
2020/3/18,-1.14
2020/3/17,0.38
2020/3/16,-4.43
2020/3/13,-1.16
2020/3/12,-3.11
2020/3/11,-1.31
2020/3/10,0.31
2020/3/9,-1.96
2020/3/6,0.3
2020/3/5,2.21
2020/3/4,-0.04
2020/3/3,3.73
2020/3/2,2.89
2020/2/28,-2.34
2020/2/27,1.27
2020/2/26,-3.2
2020/2/25,1.12
2020/2/24,1.17
2020/2/21,0.98
2020/2/20,1.32
2020/2/19,-1.51
2020/2/18,-0.53
2020/2/17,2.66
2020/2/14,0.25
2020/2/13,-0.79
2020/2/12,1.17
2020/2/11,0.25
2020/2/10,-0.33
2020/2/7,-1.12
2020/2/6,2.46
2020/2/5,2.83
2020/2/4,2.82
2020/2/3,-4.08
2020/1/23,-2.27
2020/1/22,-0.54
2020/1/21,0.84
2020/1/20,1.32
2020/1/17,1.25
2020/1/16,0.92
2020/1/15,0.84
2020/1/14,-1
2020/1/13,0.97
2020/1/10,0.4
2020/1/9,3.1
2020/1/8,-0.63
2020/1/7,1.33
2020/1/6,-1.09
2020/1/3,-0.23
2020/1/2,0.41
2019/12/31,2.09
2019/12/30,0.14
2019/12/27,-0.55
2019/12/26,0.56
2019/12/25,-0.14
2019/12/24,0.09
2019/12/23,-0.65
2019/12/20,-1
2019/12/19,-0.23
2019/12/18,-1.21
2019/12/17,0.45
2019/12/16,0.32
2019/12/13,1.8
2019/12/12,0.37
2019/12/11,-0.28
2019/12/10,1.03
2019/12/9,-1.74
2019/12/6,0.69
2019/12/5,1.4
2019/12/4,0.61
2019/12/3,0
2019/12/2,-1.35
2019/11/29,-2.23
2019/11/28,0.09
2019/11/27,-0.95
2019/11/26,0.77
2019/11/25,-0.94
2019/11/22,-3.89
2019/11/21,-1.2
2019/11/20,-0.26
2019/11/19,2.04
2019/11/18,0.22
2019/11/15,-0.35
2019/11/14,1.5
2019/11/13,1.79
2019/11/12,0.45
2019/11/11,-2.5
2019/11/8,-0.26
2019/11/7,0.31
2019/11/6,-0.35
2019/11/5,-0.35
2019/11/4,2.09
2019/11/1,1.22
2019/10/31,1.19
2019/10/30,-0.77
2019/10/29,0.73
2019/10/28,1.62
2019/10/25,0.94
2019/10/24,-0.79
2019/10/23,-2
2019/10/22,1.1
2019/10/21,-2.03
2019/10/18,-0.4
2019/10/17,0.77
2019/10/16,0.68
2019/10/15,-0.41
2019/10/14,0.14
2019/10/11,0.32
2019/10/10,4.32
2019/10/9,-0.43
2019/10/8,0.48
2019/9/30,0.33
2019/9/27,0.29
2019/9/26,-1.41
2019/9/25,-0.75
2019/9/24,2.15
2019/9/23,-1.18
2019/9/20,0.67
2019/9/19,0.77
2019/9/18,0.97
2019/9/17,-0.82
2019/9/16,0.97
2019/9/12,0.19
2019/9/11,-1.81
2019/9/10,0.82
2019/9/9,0.24
2019/9/6,0.48
2019/9/5,-0.19
2019/9/4,-0.48
2019/9/3,-0.91
2019/9/2,1.06
2019/8/30,0.68
2019/8/29,-0.15
2019/8/28,-1.01
2019/8/27,0.77
2019/8/26,0.73
2019/8/23,2.65
2019/8/22,1.21
2019/8/21,-0.6
2019/8/20,-0.15
2019/8/19,1.68
2019/8/16,1.45
2019/8/15,0.42
2019/8/14,1.42
2019/8/13,0.16
2019/8/12,1.17
2019/8/9,0.43
2019/8/8,1.8
2019/8/7,1.44
2019/8/6,0.06
2019/8/5,-1.47
2019/8/2,0.22
2019/8/1,-0.87
2019/7/31,-0.54
2019/7/30,0.32
2019/7/29,-0.54
2019/7/26,0.7
2019/7/25,0
2019/7/24,0.6
2019/7/23,0.66
2019/7/22,-0.38
2019/7/19,0.38
2019/7/18,-1.03
2019/7/17,-0.27
2019/7/16,-0.75
2019/7/15,0.16
2019/7/12,0.54
2019/7/11,0.38
2019/7/10,0.38
2019/7/9,-0.16
2019/7/8,-1.87
2019/7/5,1.8
2019/7/4,-1.34
2019/7/3,-1.64
2019/7/2,1.66
2019/7/1,2.53
2019/6/28,-0.16
2019/6/27,1.34
2019/6/26,1.58
2019/6/25,-0.11
2019/6/24,0.17
2019/6/21,0.34
2019/6/20,1.73
2019/6/19,1.29
2019/6/18,0.65
2019/6/17,-0.18
2019/6/14,-0.06
2019/6/13,0.65
2019/6/12,-0.35
2019/6/11,2.97
2019/6/10,0.98
2019/6/6,-1.33
2019/6/5,-2.36
2019/6/4,-1.91
2019/6/3,-0.4
2019/5/31,0.41
2019/5/30,-0.12
2019/5/29,-0.35
2019/5/28,0.75
2019/5/27,0.53
2019/5/24,-0.35
2019/5/23,-1.88
2019/5/22,-0.17
2019/5/21,1.33
2019/5/20,-1.2
2019/5/17,-1.9
2019/5/16,0.56
2019/5/15,2.24
2019/5/14,-0.8
2019/5/13,-0.17
2019/5/10,3.05
2019/5/9,-2.46
2019/5/8,-0.91
2019/5/7,2.5
2019/5/6,-4.39
2019/4/30,0.56
2019/4/29,1.59
2019/4/26,-0.9
2019/4/25,-1.11
2019/4/24,0.28
2019/4/23,-0.28
2019/4/22,-1.05
2019/4/19,1.06
2019/4/18,-0.28
2019/4/17,0
2019/4/16,1.64
2019/4/15,-1.17
2019/4/12,-0.72
2019/4/11,-3.27
2019/4/10,1.08
2019/4/9,2.04
2019/4/8,-0.77
2019/4/4,-0.11
2019/4/3,0.11
2019/4/2,-1.19
